Miscellaneous
Weight
Weight,
Weight,,230 gr
Technical Features
Volume Control
Volume Control,
Volume Control,,With Volume Control
Impedance
Impedance,
Impedance,,24 ohm
Max Transmit Range
Max Transmit Range,
Max Transmit Range,,100 m
Sensitivity
Sensitivity,
Sensitivity,,106 dB
Battery Life
Battery Life,
Battery Life,,25 hours
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,"Personal Audio




 • 






 

Computers




 • 






 

Home Audio"
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,22 Hz - 19.5 kHz
Wireless Technology
Wireless Technology,
Wireless Technology,,RF
Product Identifiers
UPC
UPC,
UPC,,0615104099227
MPN
MPN,
MPN,,009920
Other Features
Brand
Brand,
Brand,,Sennheiser
