Technical Features
Volume Control
Volume Control,
Volume Control,,With Volume Control
Impedance
Impedance,
Impedance,,32 ohm
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,12.5 mm
Sensitivity
Sensitivity,
Sensitivity,,105 dB
Noise Isolating
Noise Isolating,
Noise Isolating,,With Noise Isolating
Battery Life
Battery Life,
Battery Life,,60 hours
Noise Canceling
Noise Canceling,
Noise Canceling,,With Noise Canceling
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Earbuds
Frequency Response
Frequency Response,
Frequency Response,,20 Hz - 20 kHz
Product Identifiers
MPN
MPN,
MPN,,ANC23
Other Features
Brand
Brand,
Brand,,Audio Technica
