Miscellaneous
Weight
Weight,
Weight,,8.5 gr
Technical Features
Impedance
Impedance,
Impedance,,16 ohm
Cable Length
Cable Length,
Cable Length,,1.52 m
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,14 mm
Max Power Handling
Max Power Handling,
Max Power Handling,,50 mW
Sensitivity
Sensitivity,
Sensitivity,,98 dB
Battery Life
Battery Life,
Battery Life,,100 hours
Noise Canceling
Noise Canceling,
Noise Canceling,,With Noise Canceling
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Earbuds
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,10 Hz - 22 kHz
Product Identifiers
UPC
UPC,
UPC,,4905524700787
MPN
MPN,
MPN,,MDRNC13
Other Features
Brand
Brand,
Brand,,Sony
