Miscellaneous
Included Accessories
Included Accessories,
Included Accessories,,Carrying Case
Weight
Weight,
Weight,,17.01 gr
Plug
Plug Material
Plug Material,
Plug Material,,Gold
Technical Features
Impedance
Impedance,
Impedance,,16 ohm
Cable Length
Cable Length,
Cable Length,,0.61 m
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,13.5 mm
Max Power Handling
Max Power Handling,
Max Power Handling,,50 mW
Sensitivity
Sensitivity,
Sensitivity,,104 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Design
Design,
Design,,Over the Ear
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,18 Hz - 20 kHz
Product Identifiers
UPC
UPC,
UPC,,027242768406
MPN
MPN,
MPN,,MDRAS35W
Other Features
Brand
Brand,
Brand,,Sony
