Miscellaneous
Weight
Weight,
Weight,,5.1 gr
Plug
Technical Features
Volume Control
Volume Control,
Volume Control,,With Volume Control
Impedance
Impedance,
Impedance,,16 ohm
Cable Length
Cable Length,
Cable Length,,1.22 m
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,10 mm
Sensitivity
Sensitivity,
Sensitivity,,104 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Earbuds
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,5 Hz - 23 kHz
Product Identifiers
UPC
UPC,
UPC,,046838045998
MPN
MPN,
MPN,,HAFX1X
Other Features
Brand
Brand,
Brand,,JVC
