Plug
Plug Material
Plug Material,
Plug Material,,Gold
Technical Features
Impedance
Impedance,
Impedance,,820 ohm
Max Power Handling
Max Power Handling,
Max Power Handling,,50 mW
Sensitivity
Sensitivity,
Sensitivity,,106 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Design
Design,
Design,,Earbuds
Frequency Response
Frequency Response,
Frequency Response,,5 Hz - 20 kHz
Other Features
Brand
Brand,
Brand,,Sony
