Miscellaneous
Weight
Weight,
Weight,,113.4 gr
Technical Features
Impedance
Impedance,
Impedance,,34 ohm
Cable Length
Cable Length,
Cable Length,,1.22 m
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,40 mm
Max Power Handling
Max Power Handling,
Max Power Handling,,1000 mW
Sensitivity
Sensitivity,
Sensitivity,,103 dB
Noise Isolating
Noise Isolating,
Noise Isolating,,With Noise Isolating
Noise Canceling
Noise Canceling,
Noise Canceling,,Without Noise Canceling
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,10 Hz - 25 kHz
Product Identifiers
MPN
MPN,
MPN,,ATHES55WH
Other Features
Brand
Brand,
Brand,,Audio Technica
