Plug
Plug Material
Plug Material,
Plug Material,,Gold
Technical Features
Volume Control
Volume Control,
Volume Control,,Without Volume Control
Impedance
Impedance,
Impedance,,32 ohm
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,40 mm
Max Power Handling
Max Power Handling,
Max Power Handling,,30 mW
Noise Isolating
Noise Isolating,
Noise Isolating,,With Noise Isolating
Noise Canceling
Noise Canceling,
Noise Canceling,,With Noise Canceling
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,"Personal Audio




 • 






 

Home Audio"
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,18 Hz - 20 kHz
Product Identifiers
MPN
MPN,
MPN,,S6AGBZBZ
Other Features
Brand
Brand,
Brand,,Skullcandy
