Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Design
Design,
Design,,Earbuds
Frequency Response
Frequency Response,
Frequency Response,,15 Hz - 22 kHz
Product Identifiers
UPC
UPC,
UPC,,6923410717068
MPN
MPN,
MPN,,SHQ4200/98
Other Features
Brand
Brand,
Brand,,Philips
