Miscellaneous
Weight
Weight,
Weight,,85.05 gr
Technical Features
Impedance
Impedance,
Impedance,,32 ohm
Cable Length
Cable Length,
Cable Length,,1.22 m
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,36 mm
Max Power Handling
Max Power Handling,
Max Power Handling,,500 mW
Sensitivity
Sensitivity,
Sensitivity,,104 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,15 Hz - 22 kHz
Product Identifiers
UPC
UPC,
UPC,,4961310112271
MPN
MPN,
MPN,,ATHSJ11BK
Other Features
Brand
Brand,
Brand,,Audio Technica
