Miscellaneous
Weight
Weight,
Weight,,280 gr
Plug
Plug Material
Plug Material,
Plug Material,,Gold
Technical Features
Volume Control
Volume Control,
Volume Control,,Without Volume Control
Impedance
Impedance,
Impedance,,32 ohm
Cable Length (m)
Cable Length (m),
Cable Length (m),,3
Cable Length
Cable Length,
Cable Length,,3 m
Sensitivity
Sensitivity,
Sensitivity,,112 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,DJ
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Professional
Frequency Response
Frequency Response,
Frequency Response,,12 Hz - 22 kHz
Product Identifiers
UPC
UPC,
UPC,,615104100893
MPN
MPN,
MPN,,HD215II
Other Features
Brand
Brand,
Brand,,Sennheiser
