Miscellaneous
Weight
Weight,
Weight,,178 gr
Technical Features
Impedance
Impedance,
Impedance,,24 ohm
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,32 mm
Max Transmit Range
Max Transmit Range,
Max Transmit Range,,100 m
Sensitivity
Sensitivity,
Sensitivity,,100 dB
Battery Life
Battery Life,
Battery Life,,15 hours
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Home Audio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,10 Hz - 20 kHz
Product Identifiers
UPC
UPC,
UPC,,6923410705478
MPN
MPN,
MPN,,SHC510010
Other Features
Brand
Brand,
Brand,,Philips
