Miscellaneous
Included Accessories
Included Accessories,
Included Accessories,,Carrying Case
Technical Features
Volume Control
Volume Control,
Volume Control,,Without Volume Control
Impedance
Impedance,
Impedance,,16 ohm
Sensitivity
Sensitivity,
Sensitivity,,112 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Earbuds
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,18 Hz - 21 kHz
Product Identifiers
MPN
MPN,
MPN,,CX300-B
Other Features
Brand
Brand,
Brand,,Sennheiser
