Miscellaneous
Weight
Weight,
Weight,,20 gr
Technical Features
Volume Control
Volume Control,
Volume Control,,With Volume Control
Cable Length (m)
Cable Length (m),
Cable Length (m),,1.3
Cable Length
Cable Length,
Cable Length,,1.3 m
Noise Isolating
Noise Isolating,
Noise Isolating,,With Noise Isolating
Noise Canceling
Noise Canceling,
Noise Canceling,,With Noise Canceling
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Surround
Compatibility
Compatibility,
Compatibility,,"Mobile / Cellular




 • 






 

Personal Audio"
Design
Design,
Design,,Earbuds
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,20 Hz - 20 kHz
Product Identifiers
UPC
UPC,
UPC,,0848447000081
MPN
MPN,
MPN,,900-00019-01
Other Features
Brand
Brand,
Brand,,Monster Cable Products
