Miscellaneous
Included Accessories
Included Accessories,
Included Accessories,,"Airplane Adapter




 • 






 

Carrying Case"
Weight
Weight,
Weight,,30 gr
Plug
Plug Material
Plug Material,
Plug Material,,Gold
Technical Features
Volume Control
Volume Control,
Volume Control,,With Volume Control
Impedance
Impedance,
Impedance,,36 ohm
Cable Length (m)
Cable Length (m),
Cable Length (m),,1.62
Cable Length
Cable Length,
Cable Length,,1.62 m
Sensitivity
Sensitivity,
Sensitivity,,119 dB
Noise Isolating
Noise Isolating,
Noise Isolating,,With Noise Isolating
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,"Mobile / Cellular




 • 






 

Personal Audio"
Design
Design,
Design,,Earbuds
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,18 Hz - 19 kHz
Product Identifiers
UPC
UPC,
UPC,,042406178631
MPN
MPN,
MPN,,SE535-V
Other Features
Brand
Brand,
Brand,,Shure
