Key Features
Design
Design,
Design,,Over the Head
Frequency Response
Frequency Response,
Frequency Response,,20 Hz - 20 kHz
Product Identifiers
UPC
UPC,
UPC,,5021341000707
Other Features
Brand
Brand,
Brand,,Logic3
