Miscellaneous
Weight
Weight,
Weight,,235 gr
Plug
Plug Material
Plug Material,
Plug Material,,Gold
Technical Features
Volume Control
Volume Control,
Volume Control,,Without Volume Control
Impedance
Impedance,
Impedance,,62 ohm
Cable Length (m)
Cable Length (m),
Cable Length (m),,3
Cable Length
Cable Length,
Cable Length,,3 m
Max Power Handling
Max Power Handling,
Max Power Handling,,200 mW
Sensitivity
Sensitivity,
Sensitivity,,105 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Home Audio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Professional
Frequency Response
Frequency Response,
Frequency Response,,10 Hz - 39.8 kHz
Product Identifiers
UPC
UPC,
UPC,,9002761016253
MPN
MPN,
MPN,,K 701
Other Features
Brand
Brand,
Brand,,AKG
