Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Design
Design,
Design,,Over the Ear
Frequency Response
Frequency Response,
Frequency Response,,15 Hz - 22 kHz
Product Identifiers
MPN
MPN,
MPN,,MM450
Other Features
Brand
Brand,
Brand,,Sennheiser
