Miscellaneous
Weight
Weight,
Weight,,9.07 gr
Plug
Plug Material
Plug Material,
Plug Material,,Gold
Technical Features
Impedance
Impedance,
Impedance,,16 ohm
Cable Length
Cable Length,
Cable Length,,1.22 m
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,9 mm
Sensitivity
Sensitivity,
Sensitivity,,106 dB
Noise Isolating
Noise Isolating,
Noise Isolating,,With Noise Isolating
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Earbuds
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,16 Hz - 23 kHz
Product Identifiers
MPN
MPN,
MPN,,51MZ0085AA020
Other Features
Brand
Brand,
Brand,,Creative
