Technical Features
Impedance
Impedance,
Impedance,,32 ohm
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,40 mm
Max Power Handling
Max Power Handling,
Max Power Handling,,200 mW
Sensitivity
Sensitivity,
Sensitivity,,112 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Studio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Professional
Frequency Response
Frequency Response,
Frequency Response,,18 Hz - 22 kHz
Product Identifiers
MPN
MPN,
MPN,,K99 6000H09230
Other Features
Brand
Brand,
Brand,,AKG
