Miscellaneous
Weight
Weight,
Weight,,140 gr
Technical Features
Impedance
Impedance,
Impedance,,73 ohm
Cable Length (m)
Cable Length (m),
Cable Length (m),,1.6
Cable Length
Cable Length,
Cable Length,,1.6 m
Sensitivity
Sensitivity,
Sensitivity,,101 dB
Battery Life
Battery Life,
Battery Life,,35 hours
Key Features
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,80 Hz - 3 kHz
Product Identifiers
UPC
UPC,
UPC,,17817513463
MPN
MPN,
MPN,,97242
Other Features
Brand
Brand,
Brand,,Bose
