Technical Features
Impedance
Impedance,
Impedance,,32 ohm
Max Transmit Range
Max Transmit Range,
Max Transmit Range,,100 m
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Home Audio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,18 Hz - 21 kHz
Product Identifiers
UPC
UPC,
UPC,,4044155045444
MPN
MPN,
MPN,,502875
Other Features
Brand
Brand,
Brand,,Sennheiser
