Miscellaneous
Weight
Weight,
Weight,,283.5 gr
Technical Features
Impedance
Impedance,
Impedance,,40 ohm
Cable Length
Cable Length,
Cable Length,,1.52 m
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,40 mm
Sensitivity
Sensitivity,
Sensitivity,,96 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Surround
Compatibility
Compatibility,
Compatibility,,Studio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Professional
Frequency Response
Frequency Response,
Frequency Response,,6 Hz - 42 kHz
Other Features
Brand
Brand,
Brand,,Ultrasone
