Miscellaneous
Weight
Weight,
Weight,,260 gr
Technical Features
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,40 mm
Sensitivity
Sensitivity,
Sensitivity,,115 dB
Noise Canceling
Noise Canceling,
Noise Canceling,,With Noise Canceling
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,"DJ




 • 






 

Studio"
Design
Design,
Design,,Over the Ear
Usage
Usage,
Usage,,Professional
Frequency Response
Frequency Response,
Frequency Response,,20 Hz - 20 kHz
Product Identifiers
UPC
UPC,
UPC,,0848447000043
MPN
MPN,
MPN,,BT90000022
Other Features
Brand
Brand,
Brand,,Beats by Dr. Dre
