Plug
Plug Material
Plug Material,
Plug Material,,Gold
Technical Features
Volume Control
Volume Control,
Volume Control,,With Volume Control
Impedance
Impedance,
Impedance,,300 ohm
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,40 mm
Max Power Handling
Max Power Handling,
Max Power Handling,,500 mW
Sensitivity
Sensitivity,
Sensitivity,,109 dB
Noise Isolating
Noise Isolating,
Noise Isolating,,With Noise Isolating
Battery Life
Battery Life,
Battery Life,,40 hours
Noise Canceling
Noise Canceling,
Noise Canceling,,With Noise Canceling
Battery Type
Battery Type,
Battery Type,,1 x AAA
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,10 Hz - 25 kHz
Product Identifiers
UPC
UPC,
UPC,,0042005158386
MPN
MPN,
MPN,,ATHANC7B
Other Features
Brand
Brand,
Brand,,Audio Technica
