Miscellaneous
Weight
Weight,
Weight,,130.13 gr
Technical Features
Volume Control
Volume Control,
Volume Control,,Without Volume Control
Impedance
Impedance,
Impedance,,32 ohm
Cable Length (m)
Cable Length (m),
Cable Length (m),,3
Cable Length
Cable Length,
Cable Length,,3 m
Sensitivity
Sensitivity,
Sensitivity,,115 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,"DJ




 • 






 

Personal Audio




 • 






 

Home Audio"
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,18 Hz - 18 kHz
Product Identifiers
UPC
UPC,
UPC,,615104051768
MPN
MPN,
MPN,,SENHD202
Other Features
Brand
Brand,
Brand,,Sennheiser
