Technical Features
Volume Control
Volume Control,
Volume Control,,With Volume Control
Impedance
Impedance,
Impedance,,130 ohm
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,36 mm
Max Power Handling
Max Power Handling,
Max Power Handling,,500 mW
Sensitivity
Sensitivity,
Sensitivity,,105 dB
Battery Life
Battery Life,
Battery Life,,40 hours
Noise Canceling
Noise Canceling,
Noise Canceling,,With Noise Canceling
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Over the Ear
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,10 Hz - 20 kHz
Product Identifiers
UPC
UPC,
UPC,,4961310107673
MPN
MPN,
MPN,,ATH-ANC1
Other Features
Brand
Brand,
Brand,,Audio Technica
