Miscellaneous
Weight
Weight,
Weight,,85.05 gr
Technical Features
Impedance
Impedance,
Impedance,,68 ohm
Cable Length
Cable Length,
Cable Length,,1.52 m
Driver Unit Size
Driver Unit Size,
Driver Unit Size,,30 mm
Max Power Handling
Max Power Handling,
Max Power Handling,,50 mW
Sensitivity
Sensitivity,
Sensitivity,,102 dB
Battery Life
Battery Life,
Battery Life,,40 hours
Noise Canceling
Noise Canceling,
Noise Canceling,,With Noise Canceling
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,14 Hz - 22 kHz
Product Identifiers
UPC
UPC,
UPC,,0027242724433
MPN
MPN,
MPN,,MDRNC40BLK
Other Features
Brand
Brand,
Brand,,Sony
