Technical Features
Impedance,,32 ohm
Driver Unit Size,,40 mm
Max Power Handling,,200 mW
Sensitivity,,96 dB
Key Features
Sound Mode,,Stereo
Compatibility,,Home Audio
Design,,Over the Head
Usage,,Consumer
Frequency Response,,18 Hz - 20 kHz
Product Identifiers
UPC,,9002761023923
MPN,,K 44
Other Features
Brand,,AKG
