Miscellaneous
Weight
Weight,
Weight,,160 gr
Technical Features
Impedance
Impedance,
Impedance,,18 ohm
Cable Length (m)
Cable Length (m),
Cable Length (m),,1.4
Cable Length
Cable Length,
Cable Length,,1.4 m
Sensitivity
Sensitivity,
Sensitivity,,112 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Design
Design,
Design,,Over the Ear
Frequency Response
Frequency Response,
Frequency Response,,16 Hz - 22 kHz
Product Identifiers
UPC
UPC,
UPC,,4044155080360
MPN
MPN,
MPN,,505796
Other Features
Brand
Brand,
Brand,,Sennheiser
