Technical Features
Volume Control
Volume Control,
Volume Control,,Without Volume Control
Impedance
Impedance,
Impedance,,32 ohm
Cable Length
Cable Length,
Cable Length,,1.52 m
Sensitivity
Sensitivity,
Sensitivity,,114 dB
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Personal Audio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Consumer
Frequency Response
Frequency Response,
Frequency Response,,16 Hz - 23 kHz
Other Features
Brand
Brand,
Brand,,Sennheiser
