Miscellaneous
Included Accessories
Included Accessories,
Included Accessories,,Batteries
Technical Features
Volume Control
Volume Control,
Volume Control,,With Volume Control
Impedance
Impedance,
Impedance,,300 ohm
Sensitivity
Sensitivity,
Sensitivity,,112 dB
Battery Life
Battery Life,
Battery Life,,50 hours
Noise Canceling
Noise Canceling,
Noise Canceling,,With Noise Canceling
Battery Type
Battery Type,
Battery Type,,1 x AAA
Key Features
Sound Mode
Sound Mode,
Sound Mode,,Stereo
Compatibility
Compatibility,
Compatibility,,Studio
Design
Design,
Design,,Over the Head
Usage
Usage,
Usage,,Professional
Frequency Response
Frequency Response,
Frequency Response,,10 Hz - 21 kHz
Product Identifiers
UPC
UPC,
UPC,,4044155044447
MPN
MPN,
MPN,,502818
Other Features
Brand
Brand,
Brand,,Sennheiser
